round,method,sq_distance
1,tdre,0.624832
2,tdre,0.009208
3,tdre,0.013528
4,tdre,0.023130
5,tdre,0.030421
6,tdre,0.015343
1,random,0.625752
2,random,0.357872
3,random,0.160602
4,random,0.013784
5,random,0.033397
6,random,0.032499
