round,method,sq_distance
1,tdre,2.499558
2,tdre,1.461786
3,tdre,0.793282
4,tdre,0.737540
5,tdre,0.229315
1,random,2.025769
2,random,1.081419
3,random,0.894655
4,random,0.526209
5,random,0.092769
