round,method,sq_distance
1,tdre,2.499427
2,tdre,0.114162
3,tdre,0.185586
4,tdre,0.227913
5,tdre,0.676951
1,random,2.509839
2,random,1.444090
3,random,0.668508
4,random,0.093727
5,random,0.340644
